ID,TOKENS,GLOSS 3 ENGL,MODIFIED,GLOSA 1 PORT,COGID,PWT,GLOSA 2 ENGL,CONCEPT,IPA,PET,GLOSA 2 PORT,ALIGNMENT,COUNTERPART,GLOSA 3 PORT,CONTEXT,DOCULECT
790,pʔ o p e,,TRUE,,71,,,break,*pʔope,,,pʔ o p e,,,AXBZ,*PT
791,m ũ t∫ ã,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),~buca,PET,GLOSA 2 PORT,m ũ t∫ ã,~buca,GLOSA 3 PORT,AXBZ,BAS
792,m ũ s ã,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),~busa,PET,GLOSA 2 PORT,m ũ s ã,~busa,GLOSA 3 PORT,AXBZ,DES
793,m ũ s ã,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),~busa,PET,GLOSA 2 PORT,m ũ s ã,~busa,GLOSA 3 PORT,AXBZ,KAR
794,p ũ s a,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),pũsa,PET,GLOSA 2 PORT,p ũ s a,pũsa,GLOSA 3 PORT,AXBZ,KOR
795,m ũ h ã,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),~buha,PET,GLOSA 2 PORT,m ũ h ã,~buha,GLOSA 3 PORT,AXBZ,KUB
796,m u h i a,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),muhia,PET,GLOSA 2 PORT,m u hj a,muhia,GLOSA 3 PORT,AXBZ,KUE
797,b o s a,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),bosa,PET,GLOSA 2 PORT,b o s a,bosa,GLOSA 3 PORT,AXBZ,MAI
798,pʔ õ s a,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),pʔõsa,PET,GLOSA 2 PORT,pʔ õ s a,pʔõsa,GLOSA 3 PORT,AXBZ,SEK
799,pʔ õ s a,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),pʔõsa,PET,GLOSA 2 PORT,pʔ õ s a,pʔõsa,GLOSA 3 PORT,AXBZ,SIO
800,m ũ h ã,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),~buha,PET,GLOSA 2 PORT,m ũ h ã,~buha,GLOSA 3 PORT,AXBZ,TAN
801,m õ s ã,GLOSS 3 ENGL,FALSE,urucm,72,PWT,GLOSA 2 ENGL,urucum (achiote),~bosa,PET,GLOSA 2 PORT,m õ s ã,~bosa,GLOSA 3 PORT,AXBZ,TUK
802,m ã s ĩ _ s õ a,GLOSS 3 ENGL,FALSE,urucm,148,PWT,GLOSA 2 ENGL,urucum (achiote),~basi_sõa,PET,GLOSA 2 PORT,- - - - ( m ã s ĩ _ s õ a ),~basi sõa,GLOSA 3 PORT,AXBZ_AXZ,WAN
803,pʔ õ s a,,TRUE,,72,,,urucum (achiote),*pʔõsa,,,pʔ õ s a,,,AXBZ,*PT
804,b o d e k a,GLOSS 3 ENGL,FALSE,aracu fish,73,PWT,GLOSA 2 ENGL,aracu fish,bodeka,*pʔotʔika,GLOSA 2 PORT,b o d e k a,bodeka,GLOSA 3 PORT,AXBYBZ,BAS
805,b o d e k a,GLOSS 3 ENGL,FALSE,aracu fish,73,PWT,GLOSA 2 ENGL,aracu fish,bodeka,*pʔotʔika,GLOSA 2 PORT,b o d e k a,bodeka,GLOSA 3 PORT,AXBYBZ,DES
806,b o t e k a,GLOSS 3 ENGL,FALSE,aracu fish,73,PWT,GLOSA 2 ENGL,aracu fish,boteka,*pʔotʔika,GLOSA 2 PORT,b o t e k a,boteka,GLOSA 3 PORT,AXBYBZ,KAR
807,b o d i k a,GLOSS 3 ENGL,FALSE,aracu fish,73,PWT,GLOSA 2 ENGL,aracu fish,bodika,*pʔotʔika,GLOSA 2 PORT,b o d i k a,bodika,GLOSA 3 PORT,AXBYBZ,KUB
808,p o l e ki a,GLOSS 3 ENGL,FALSE,aracu fish,73,PWT,GLOSA 2 ENGL,aracu fish,polekia,*pʔotʔika,GLOSA 2 PORT,p o r e kj a,polekia,GLOSA 3 PORT,AXBYBZ,KUE
809,b o t a k a,GLOSS 3 ENGL,FALSE,aracu fish,73,PWT,GLOSA 2 ENGL,aracu fish,botaka,*pʔotʔika,GLOSA 2 PORT,b o t a k a,botaka,GLOSA 3 PORT,AXBYBZ,TAN
810,b o ʔt e a,GLOSS 3 ENGL,FALSE,aracu fish,73,PWT,GLOSA 2 ENGL,aracu fish,boʔtea,*pʔotʔika,GLOSA 2 PORT,b o ʔt e - a,boʔtea,GLOSA 3 PORT,AXBYZ,TUK
811,b o ʔt e a,GLOSS 3 ENGL,FALSE,aracu fish,73,PWT,GLOSA 2 ENGL,aracu fish,boʔtea,*pʔotʔika,GLOSA 2 PORT,b o ʔt e - a,boʔtea,GLOSA 3 PORT,AXBYZ,WAN
812,pʔ o tʔ i k a,,TRUE,,73,,,aracu fish,*pʔotʔika,,,pʔ o tʔ i k a,,,AXBYBZ,*PT
813,m ĩ h ĩ,GLOSS 3 ENGL,FALSE,inchação,74,PWT,GLOSA 2 ENGL,swell,~bihi,PET,GLOSA 2 PORT,m ĩ h ĩ,~bihi,GLOSA 3 PORT,AXBZ,BAS
814,b i h i,GLOSS 3 ENGL,FALSE,inchação,74,PWT,GLOSA 2 ENGL,swell,bihi,PET,GLOSA 2 PORT,b i h i,bihi,GLOSA 3 PORT,AXBZ,DES
815,h u h u,GLOSS 3 ENGL,FALSE,inchação,74,PWT,GLOSA 2 ENGL,swell,huhu,PET,GLOSA 2 PORT,h u h u,huhu,GLOSA 3 PORT,AXBZ,MAI
816,h u h u,GLOSS 3 ENGL,FALSE,inchação,74,PWT,GLOSA 2 ENGL,swell,huhu,PET,GLOSA 2 PORT,h u h u,huhu,GLOSA 3 PORT,AXBZ,SIO
817,ɸ ĩ ɸ i,GLOSS 3 ENGL,FALSE,inchação,74,PWT,GLOSA 2 ENGL,swell,pĩpi,PET,GLOSA 2 PORT,ɸ ĩ ɸ i,pĩpi,GLOSA 3 PORT,AXBZ,TAN
818,b i p i,GLOSS 3 ENGL,FALSE,inchação,74,PWT,GLOSA 2 ENGL,swell,bipi,PET,GLOSA 2 PORT,b i p i,bipi,GLOSA 3 PORT,AXBZ,TUK
819,b i p i,GLOSS 3 ENGL,FALSE,inchação,74,PWT,GLOSA 2 ENGL,swell,bipi,PET,GLOSA 2 PORT,b i p i,bipi,GLOSA 3 PORT,AXBZ,TUY
820,w i p i,GLOSS 3 ENGL,FALSE,inchação,74,PWT,GLOSA 2 ENGL,swell,wipi,PET,GLOSA 2 PORT,w i p i,wipi,GLOSA 3 PORT,AXBZ,WAN
821,pʔ u p i,,TRUE,,74,,,swell,*pʔupi,,,pʔ u p i,,,AXBZ,*PT
822,h a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,hakɨ,PET,GLOSA 2 PORT,h a k ɨ,hakɨ,GLOSA 3 PORT,AXBZ,BAS
823,p a g ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,pagɨ,PET,GLOSA 2 PORT,p a g ɨ,pagɨ,GLOSA 3 PORT,AXBZ,DES
824,p a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,pakɨ,PET,GLOSA 2 PORT,p a k ɨ,pakɨ,GLOSA 3 PORT,AXBZ,KAR
825,h a kh ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,hakhɨ,PET,GLOSA 2 PORT,h a kh ɨ,hakhɨ,GLOSA 3 PORT,AXBZ,KOR
826,p a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,pakɨ,PET,GLOSA 2 PORT,p a k ɨ,pakɨ,GLOSA 3 PORT,AXBZ,KUB
827,h a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,hakɨ,PET,GLOSA 2 PORT,h a k ɨ,hakɨ,GLOSA 3 PORT,AXBZ,KUE
828,h a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,hakɨ,PET,GLOSA 2 PORT,h a k ɨ,hakɨ,GLOSA 3 PORT,AXBZ,MAI
829,h a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,hakɨ,PET,GLOSA 2 PORT,h a k ɨ,hakɨ,GLOSA 3 PORT,AXBZ,SEK
830,h a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,hakɨ,PET,GLOSA 2 PORT,h a k ɨ,hakɨ,GLOSA 3 PORT,AXBZ,SIO
831,ɸ a k i,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,paki,PET,GLOSA 2 PORT,ɸ a k i,paki,GLOSA 3 PORT,AXBZ,TAN
832,p a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,pakɨ,PET,GLOSA 2 PORT,p a k ɨ,pakɨ,GLOSA 3 PORT,AXBZ,TUK
833,p a k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,pakɨ,PET,GLOSA 2 PORT,p a k ɨ,pakɨ,GLOSA 3 PORT,AXBZ,TUY
834,ph ɨ k ɨ,GLOSS 3 ENGL,FALSE,pai,75,PWT,GLOSA 2 ENGL,father,phɨkɨ,PET,GLOSA 2 PORT,ph ɨ k ɨ,phɨkɨ,GLOSA 3 PORT,AXBZ,WAN
835,p a k ɨ,,FALSE,,75,,,father,*pa-kɨ,,,p a k ɨ,,,AXBZ,*PT
836,h a i,GLOSS 3 ENGL,FALSE,grande,76,PWT,GLOSA 2 ENGL,big,hai,PET,GLOSA 2 PORT,h a - i,hai,GLOSA 3 PORT,AXZ,BAS
837,p a i,GLOSS 3 ENGL,FALSE,grande,76,PWT,GLOSA 2 ENGL,big,pai,PET,GLOSA 2 PORT,p a - i,pai,GLOSA 3 PORT,AXZ,KAR
838,h a i,GLOSS 3 ENGL,FALSE,grande,76,PWT,GLOSA 2 ENGL,big,hai,PET,GLOSA 2 PORT,h a - i,hai,GLOSA 3 PORT,AXZ,MAI
839,p a h i,GLOSS 3 ENGL,FALSE,grande,76,PWT,GLOSA 2 ENGL,big,pahi,PET,GLOSA 2 PORT,p a h i,pahi,GLOSA 3 PORT,AXBZ,PIR
840,h a i,GLOSS 3 ENGL,FALSE,grande,76,PWT,GLOSA 2 ENGL,big,hai,PET,GLOSA 2 PORT,h a - i,hai,GLOSA 3 PORT,AXZ,SEK
841,h a i,GLOSS 3 ENGL,FALSE,grande,76,PWT,GLOSA 2 ENGL,big,hai,PET,GLOSA 2 PORT,h a - i,hai,GLOSA 3 PORT,AXZ,SIO
842,p a h i,GLOSS 3 ENGL,FALSE,grande,76,PWT,GLOSA 2 ENGL,big,pahi,PET,GLOSA 2 PORT,p a h i,pahi,GLOSA 3 PORT,AXBZ,TUK
843,p a i,GLOSS 3 ENGL,FALSE,grande,76,PWT,GLOSA 2 ENGL,big,pai,PET,GLOSA 2 PORT,p a - i,pai,GLOSA 3 PORT,AXZ,TUY
844,p a h i,,FALSE,,76,,,big,*pahi,,,p a h i,,,AXBZ,*PT
845,h ã m õ,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,~habo,PET,GLOSA 2 PORT,h ã m õ,~habo,GLOSA 3 PORT,AXBZ,BAS
846,p ã m õ,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,~pabo,PET,GLOSA 2 PORT,p ã m õ,~pabo,GLOSA 3 PORT,AXBZ,DES
847,p ã m õ,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,~pabo,PET,GLOSA 2 PORT,p ã m õ,~pabo,GLOSA 3 PORT,AXBZ,KAR
848,h a m u,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,hamu,PET,GLOSA 2 PORT,h a m u,hamu,GLOSA 3 PORT,AXBZ,KOR
849,p ã m ũ,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,~pabu,PET,GLOSA 2 PORT,p ã m ũ,~pabu,GLOSA 3 PORT,AXBZ,KUB
850,h a m u,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,hamu,PET,GLOSA 2 PORT,h a m u,hamu,GLOSA 3 PORT,AXBZ,KUE
851,p ã m õ,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,~pabo,PET,GLOSA 2 PORT,p ã m õ,~pabo,GLOSA 3 PORT,AXBZ,PIR
852,h ã m o,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,hãmo,PET,GLOSA 2 PORT,h ã m o,hãmo,GLOSA 3 PORT,AXBZ,SEK
853,h ã m u,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,hãmu,PET,GLOSA 2 PORT,h ã m u,hãmu,GLOSA 3 PORT,AXBZ,SIO
854,ɸ ã m ũ,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,~pabu,PET,GLOSA 2 PORT,ɸ ã m ũ,~pabu,GLOSA 3 PORT,AXBZ,TAN
855,p ã m õ,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,~pabo,PET,GLOSA 2 PORT,p ã m õ,~pabo,GLOSA 3 PORT,AXBZ,TUK
856,p ã m õ,GLOSS 3 ENGL,FALSE,tatu,77,PWT,GLOSA 2 ENGL,armadillo,~pabo,PET,GLOSA 2 PORT,p ã m õ,~pabo,GLOSA 3 PORT,AXBZ,WAN
857,p ã m u,,FALSE,,77,,,armadillo,*pãmu,,,p ã m u,,,AXBZ,*PT
858,h a j a,GLOSS 3 ENGL,FALSE,flutuar,78,PWT,GLOSA 2 ENGL,float,haja,PET,GLOSA 2 PORT,h a j a,haja,GLOSA 3 PORT,AXBZ,BAS
859,p á j a,GLOSS 3 ENGL,FALSE,flutuar,78,PWT,GLOSA 2 ENGL,float,pája,PET,GLOSA 2 PORT,p á j a,pája,GLOSA 3 PORT,AXBZ,DES
860,p a s a,GLOSS 3 ENGL,FALSE,flutuar,78,PWT,GLOSA 2 ENGL,float,pasa,PET,GLOSA 2 PORT,p a s a,pasa,GLOSA 3 PORT,AXBZ,KAR
861,p a ʔs a,GLOSS 3 ENGL,FALSE,flutuar,78,PWT,GLOSA 2 ENGL,float,paʔsa,PET,GLOSA 2 PORT,p a ʔs a,paʔsa,GLOSA 3 PORT,AXBZ,TUK
862,p a s a,GLOSS 3 ENGL,FALSE,flutuar,78,PWT,GLOSA 2 ENGL,float,pasa,PET,GLOSA 2 PORT,p a s a,pasa,GLOSA 3 PORT,AXBZ,TUY
863,p a ʔs a,GLOSS 3 ENGL,FALSE,flutuar,78,PWT,GLOSA 2 ENGL,float,paʔsa,PET,GLOSA 2 PORT,p a ʔs a,paʔsa,GLOSA 3 PORT,AXBZ,WAN
864,p a ʔj a,,TRUE,,78,,,float,*paʔja,,,p a ʔj a,,,AXBZ,*PT
865,h e a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,hea,PET,lenha,h e - a,hea,GLOSA 3 PORT,AXZ,BAS
866,p e a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,pea,PET,lenha,p e - a,pea,GLOSA 3 PORT,AXZ,DES
867,p e e,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,pee,PET,lenha,p e - e,pee,GLOSA 3 PORT,AXZ,KAR
868,h ẽ kh a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,hẽkha,PET,lenha,h ẽ kh a,hẽkha,GLOSA 3 PORT,AXBZ,KOR
869,p e k a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,peka,PET,lenha,p e k a,peka,GLOSA 3 PORT,AXBZ,KUB
870,h e kj a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,hekia,PET,lenha,h e kj a,hekia,GLOSA 3 PORT,AXBZ,KUE
871,h e k a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,heka,PET,lenha,h e k a,heka,GLOSA 3 PORT,AXBZ,MAI
872,h e k a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,heka,PET,lenha,h e k a,heka,GLOSA 3 PORT,AXBZ,SEK
873,h ẽ k a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,hẽka,PET,lenha,h ẽ k a,hẽka,GLOSA 3 PORT,AXBZ,SIO
874,ɸ e k a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,peka,PET,lenha,ɸ e k a,peka,GLOSA 3 PORT,AXBZ,TAN
875,p e k a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,peka,PET,lenha,p e k a,peka,GLOSA 3 PORT,AXBZ,TUK
876,p e k a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,peka,PET,lenha,p e k a,peka,GLOSA 3 PORT,AXBZ,TUY
877,ph i t∫ a,GLOSS 3 ENGL,FALSE,fogo,79,PWT,firewood,fire,phit∫a,PET,lenha,ph i t∫ a,phit∫a,GLOSA 3 PORT,AXBZ,WAN
878,p e k a,,FALSE,,79,,,fire,*peka,,,p e k a,,,AXBZ,*PT
879,h e d i,GLOSS 3 ENGL,FALSE,terminar,80,PWT,GLOSA 2 ENGL,end,hedi,PET,GLOSA 2 PORT,h e d i -,hedi,GLOSA 3 PORT,AXBZ,BAS
880,p e ʔd e a,GLOSS 3 ENGL,FALSE,terminar,80,PWT,GLOSA 2 ENGL,end,peʔdea,PET,GLOSA 2 PORT,p e ʔd e a,peʔdea,GLOSA 3 PORT,AXBYZ,DES
881,p e t i,GLOSS 3 ENGL,FALSE,terminar,80,PWT,GLOSA 2 ENGL,end,peti,PET,GLOSA 2 PORT,p e t i -,peti,GLOSA 3 PORT,AXBZ,KUE
882,p e ʔt i,GLOSS 3 ENGL,FALSE,terminar,80,PWT,GLOSA 2 ENGL,end,peʔti,PET,GLOSA 2 PORT,p e ʔt i -,peʔti,GLOSA 3 PORT,AXBZ,TUK
883,p i ʔt i,GLOSS 3 ENGL,FALSE,terminar,80,PWT,GLOSA 2 ENGL,end,piʔti,PET,GLOSA 2 PORT,p i ʔt i -,piʔti,GLOSA 3 PORT,AXBZ,WAN
884,p e tʔ i,,TRUE,,80,,,end,*petʔi,,,p e tʔ i -,,,AXBZ,*PT
885,h e t a,GLOSS 3 ENGL,FALSE,tocandira,81,PWT,GLOSA 2 ENGL,tocandira ant,heta,PET,GLOSA 2 PORT,h e - t a,heta,GLOSA 3 PORT,AXBZ,BAS
886,p e d a,GLOSS 3 ENGL,FALSE,tocandira,81,PWT,GLOSA 2 ENGL,tocandira ant,peda,PET,GLOSA 2 PORT,p e - d a,peda,GLOSA 3 PORT,AXBZ,DES
887,p e t a,GLOSS 3 ENGL,FALSE,tocandira,81,PWT,GLOSA 2 ENGL,tocandira ant,peta,PET,GLOSA 2 PORT,p e - t a,peta,GLOSA 3 PORT,AXBZ,KAR
888,p i a d a,GLOSS 3 ENGL,FALSE,tocandira,81,PWT,GLOSA 2 ENGL,tocandira ant,piada,PET,GLOSA 2 PORT,p i a d a,piada,GLOSA 3 PORT,AXYBZ,KUB
889,h a t a,GLOSS 3 ENGL,FALSE,tocandira,81,PWT,GLOSA 2 ENGL,tocandira ant,hata,PET,GLOSA 2 PORT,h a - t a,hata,GLOSA 3 PORT,AXBZ,KUE
890,ɸ a t a,GLOSS 3 ENGL,FALSE,tocandira,81,PWT,GLOSA 2 ENGL,tocandira ant,patajah,PET,GLOSA 2 PORT,ɸ a - t a,patajah,GLOSA 3 PORT,AXBZ,TAN
891,p e t a,GLOSS 3 ENGL,FALSE,tocandira,81,PWT,GLOSA 2 ENGL,tocandira ant,peta,PET,GLOSA 2 PORT,p e - t a,peta,GLOSA 3 PORT,AXBZ,TUK
892,ph i t a,GLOSS 3 ENGL,FALSE,tocandira,81,PWT,GLOSA 2 ENGL,tocandira ant,phita,PET,GLOSA 2 PORT,ph i - t a,phita,GLOSA 3 PORT,AXBZ,WAN
893,p i a t a,,TRUE,,81,,,tocandira ant,*piata,,,p i a t a,,,AXYBZ,*PT
894,h ĩ k õ,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,~hiko,PET,GLOSA 2 PORT,h ĩ k õ,~hiko,GLOSA 3 PORT,AXBZ,BAS
895,p ĩ ŋ ũ,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,~pigu,PET,GLOSA 2 PORT,p ĩ ŋ ũ,~pigu,GLOSA 3 PORT,AXBZ,DES
896,h ĩ ʔkh o,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,hĩʔkho,PET,GLOSA 2 PORT,h ĩ ʔkh o,hĩʔkho,GLOSA 3 PORT,AXBZ,KOR
897,p ĩ k õ,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,~piko,PET,GLOSA 2 PORT,p ĩ k õ,~piko,GLOSA 3 PORT,AXBZ,KUB
898,h ɨ̃ k o,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,hɨ̃ko,PET,GLOSA 2 PORT,h ɨ̃ k o,hɨ̃ko,GLOSA 3 PORT,AXBZ,MAI
899,h ĩ k o,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,hĩko,PET,GLOSA 2 PORT,h ĩ k o,hĩko,GLOSA 3 PORT,AXBZ,SEK
900,h ĩ k o,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,hĩko,PET,GLOSA 2 PORT,h ĩ k o,hĩko,GLOSA 3 PORT,AXBZ,SIO
901,ɸ ĩ k õ,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,~piko,PET,GLOSA 2 PORT,ɸ ĩ k õ,~piko,GLOSA 3 PORT,AXBZ,TAN
902,p ĩ k õ,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,~piko,PET,GLOSA 2 PORT,p ĩ k õ,~piko,GLOSA 3 PORT,AXBZ,TUK
903,_ ph i t∫ o,GLOSS 3 ENGL,FALSE,muxiva,82,PWT,GLOSA 2 ENGL,palm-weevil,~_phit∫o,PET,GLOSA 2 PORT,ph i t∫ o,~ phit∫o,GLOSA 3 PORT,AXBZ,WAN
904,p ĩ k o,,FALSE,,82,,,palm-weevil,*pĩko,,,p ĩ k o,,,AXBZ,*PT
905,h ɨ̃ th ɨ,GLOSS 3 ENGL,FALSE,palma da mão,83,PWT,GLOSA 2 ENGL,handpalm,hɨ̃thɨ,PET,GLOSA 2 PORT,h ɨ̃ th ɨ,hɨ̃thɨ,GLOSA 3 PORT,AXBZ,KOR
906,p ɨ d ɨ,GLOSS 3 ENGL,FALSE,palma da mão,83,PWT,GLOSA 2 ENGL,handpalm,pɨdɨ,PET,GLOSA 2 PORT,p ɨ d ɨ,pɨdɨ,GLOSA 3 PORT,AXBZ,KUB
907,h ɨ̃ t ɨ,GLOSS 3 ENGL,FALSE,palma da mão,83,PWT,GLOSA 2 ENGL,handpalm,hɨ̃tɨ,PET,GLOSA 2 PORT,h ɨ̃ t ɨ,hɨ̃tɨ,GLOSA 3 PORT,AXBZ,MAI
908,h ɨ̃ t ɨ,GLOSS 3 ENGL,FALSE,palma da mão,83,PWT,GLOSA 2 ENGL,handpalm,hɨ̃tɨ,PET,GLOSA 2 PORT,h ɨ̃ t ɨ,hɨ̃tɨ,GLOSA 3 PORT,AXBZ,SEK
909,ɨ̃ t ɨ,GLOSS 3 ENGL,FALSE,palma da mão,83,PWT,GLOSA 2 ENGL,handpalm,ɨ̃tɨ,PET,GLOSA 2 PORT,- ɨ̃ t ɨ,ɨ̃tɨ,GLOSA 3 PORT,XBZ,SIO
910,ɸ i t a,GLOSS 3 ENGL,FALSE,palma da mão,83,PWT,GLOSA 2 ENGL,handpalm,pita,PET,GLOSA 2 PORT,ɸ i t a,pita,GLOSA 3 PORT,AXBZ,TAN
911,p ɨ t ɨ,,FALSE,,83,,,handpalm,*pɨtɨ,,,p ɨ t ɨ,,,AXBZ,*PT
912,h o t a,GLOSS 3 ENGL,FALSE,espinho,84,PWT,fishhook (tan),thorn,hota,*pota,anzol (tan),h o t a,hota,GLOSA 3 PORT,AXBZ,BAS
913,p o d a,GLOSS 3 ENGL,FALSE,espinho,84,PWT,fishhook (tan),thorn,poda,*pota,anzol (tan),p o d a,poda,GLOSA 3 PORT,AXBZ,DES
914,p o t a,GLOSS 3 ENGL,FALSE,espinho,84,PWT,fishhook (tan),thorn,pota,*pota,anzol (tan),p o t a,pota,GLOSA 3 PORT,AXBZ,KAR
915,ɸ o t a,GLOSS 3 ENGL,FALSE,espinho,84,PWT,fishhook (tan),thorn,ɸota,*pota,anzol (tan),ɸ o t a,ɸota,GLOSA 3 PORT,AXBZ,TAN
916,p o t a,GLOSS 3 ENGL,FALSE,espinho,84,PWT,fishhook (tan),thorn,pota,*pota,anzol (tan),p o t a,pota,GLOSA 3 PORT,AXBZ,TUK
917,ph o t a,GLOSS 3 ENGL,FALSE,espinho,84,PWT,fishhook (tan),thorn,phota,*pota,anzol (tan),ph o t a,phota,GLOSA 3 PORT,AXBZ,WAN
918,p o t a,,FALSE,,84,,,thorn,*pota,,,p o t a,,,AXBZ,*PT
919,h u t i,GLOSS 3 ENGL,FALSE,assoprar,85,PWT,GLOSA 2 ENGL,blow,huti,PET,GLOSA 2 PORT,h u ( t i ),huti,GLOSA 3 PORT,AXBZ,BAS
920,p u d i,GLOSS 3 ENGL,FALSE,assoprar,85,PWT,GLOSA 2 ENGL,blow,pudi,PET,GLOSA 2 PORT,p u ( d i ),pudi,GLOSA 3 PORT,AXBZ,DES
921,p u t i,GLOSS 3 ENGL,FALSE,assoprar,85,PWT,GLOSA 2 ENGL,blow,puti,PET,GLOSA 2 PORT,p u ( t i ),puti,GLOSA 3 PORT,AXBZ,KAR
922,h u + i,GLOSS 3 ENGL,FALSE,assoprar,85,PWT,GLOSA 2 ENGL,blow,hu+i,PET,GLOSA 2 PORT,h u ( i - ),hu-i,GLOSA 3 PORT,AXZ,KOR
923,p u,GLOSS 3 ENGL,FALSE,assoprar,85,PWT,GLOSA 2 ENGL,blow,pu,PET,GLOSA 2 PORT,p u ( - - ),pu,GLOSA 3 PORT,AX,KUB
924,h ú + i,GLOSS 3 ENGL,FALSE,assoprar,85,PWT,GLOSA 2 ENGL,blow,hú+i,PET,GLOSA 2 PORT,h ú ( i - ),hú-i,GLOSA 3 PORT,AXZ,MAI
925,h u,GLOSS 3 ENGL,FALSE,assoprar,85,PWT,GLOSA 2 ENGL,blow,hu,PET,GLOSA 2 PORT,h u ( - - ),hu,GLOSA 3 PORT,AX,SEK
